F1	Pre	Rec	  TP		TN	FP		FN
0.690494	0.768565	0.626821	0.0320736	0.939173	0.0096582	0.0190951
0.652279	0.815301	0.543587	0.0180046	0.962799	0.00407878	0.0151172
0.546617	0.890341	0.394368	0.0130827	0.965215	0.00161133	0.0200911
0.552097	0.780311	0.427166	0.0094694	0.975166	0.00266602	0.0126986
0.443727	0.724732	0.319749	0.0140983	0.950553	0.00535482	0.0299935
0.600306	0.823083	0.472436	0.0165983	0.961299	0.00356771	0.0185352
0.634374	0.72204	0.565692	0.0178841	0.961501	0.00688477	0.0137305
0.561408	0.787586	0.436153	0.015944		0.959144	0.00430013	0.020612
0.532139	0.76441	0.408127	0.00889323	0.975469	0.00274089	0.0128971
0.425167	0.749336	0.296778	0.00734701	0.972786	0.00245768	0.0174089
